Problem,TSF_DIM1,TSF_DIM2,TSF_DIM3,TSF_DIM4,TSF_DIM5,AVERAGE,TSF,,,,,,,TSF,PRE=0.5,,TSF,NO_PRE,,PRE=0.5,NO_PRE,
AWR,0.956666667,0.956666667,0.95,0.956666667,0.953333333,0.954666667,0.9482,,,,,,,0.9482,0.965333333,-0.017133333,0.9482,0.9633332,-0.0151332,0.965333333,0.9633332,0.002000133
AF,0.266666667,0.266666667,0.266666667,0.333333333,0.266666667,0.28,0.2978,,,,,,,0.2978,0.293333333,0.004466667,0.2978,0.2800002,0.0177998,0.293333333,0.2800002,0.013333133
BM,1,1,1,1,1,1,0.9983,,,,,,,0.9983,1,-0.0017,0.9983,1,-0.0017,1,1,0
CR,0.916666667,0.944444444,0.916666667,0.930555556,0.930555556,0.927777778,0.9315,,,,,,,0.9315,0.922222222,0.009277778,0.9315,0.9222224,0.0092776,0.922222222,0.9222224,-1.78E-07
EP,0.963768116,0.963768116,0.963768116,0.963768116,0.963768116,0.963768116,0.9734,,,,,,,0.9734,0.965217391,0.008182609,0.9734,0.963768,0.009632,0.965217391,0.963768,0.001449391
FM,0.54,0.56,0.55,0.53,0.56,0.548,0.5317,,,,,,,0.5317,0.54,-0.0083,0.5317,0.544,-0.0123,0.54,0.544,-0.004
HMD,0.472972973,0.527027027,0.513513514,0.486486486,0.5,0.5,0.4851,,,,,,,0.4851,0.508108108,-0.023008108,0.4851,0.5,-0.0149,0.508108108,0.5,0.008108108
HW,0.345882353,0.342352941,0.342352941,0.349411765,0.341176471,0.344235294,0.3642,,,,,,,0.3642,0.349176471,0.015023529,0.3642,0.348,0.0162,0.349176471,0.348,0.001176471
HB,0.736585366,0.726829268,0.736585366,0.731707317,0.731707317,0.732682927,0.7228,,,,,,,0.7228,0.726829268,-0.004029268,0.7228,0.7297558,-0.0069558,0.726829268,0.7297558,-0.002926532
LIB,0.8,0.827777778,0.822222222,0.827777778,0.827777778,0.821111111,0.7972,,,,,,,0.7972,0.806666667,-0.009466667,0.7972,0.8066668,-0.0094668,0.806666667,0.8066668,-1.33E-07
LSST,0.525547445,0.523114355,0.52514193,0.525547445,0.524736415,0.524817518,0.3431,,,,,,,0.3431,0.53325223,-0.19015223,0.3431,0.5326846,-0.1895846,0.53325223,0.5326846,0.00056763
NATO,0.833333333,0.833333333,0.816666667,0.844444444,0.833333333,0.832222222,0.7772,,,,,,,0.7772,0.828888889,-0.051688889,0.7772,0.831111,-0.053911,0.828888889,0.831111,-0.002222111
PD,0.903373356,0.906803888,0.900800457,0.90651801,0.90051458,0.903602058,0.9411,,,,,,,0.9411,0.904002287,0.037097713,0.9411,0.901601,0.039499,0.904002287,0.901601,0.002401287
RS,0.901315789,0.881578947,0.894736842,0.881578947,0.894736842,0.890789474,0.8829,,,,,,,0.8829,0.894736842,-0.011836842,0.8829,0.8934212,-0.0105212,0.894736842,0.8934212,0.001315642
SRS1,0.836177474,0.843003413,0.832764505,0.839590444,0.843003413,0.83890785,0.8473,,,,,,,0.8473,0.845051195,0.002248805,0.8473,0.8457334,0.0015666,0.845051195,0.8457334,-0.000682205
SRS2,0.45,0.466666667,0.455555556,0.472222222,0.472222222,0.463333333,0.5065,,,,,,,0.5065,0.462222222,0.044277778,0.5065,0.4866666,0.0198334,0.462222222,0.4866666,-0.024444378
SWJ,0.466666667,0.4,0.4,0.533333333,0.533333333,0.466666667,0.3333,,,,,,,0.3333,0.413333333,-0.080033333,0.3333,0.4,-0.0667,0.413333333,0.4,0.013333333
UW,0.8375,0.8375,0.85,0.8375,0.83125,0.83875,0.8505,,,,,,,0.8505,0.839375,0.011125,0.8505,0.836875,0.013625,0.839375,0.836875,0.0025
,,,,,,0.712851723,0.668457692,,,,,,,0.668457692,0.710986044,-0.042528352,0.668457692,0.7103244,-0.041866708,0.710986044,0.7103244,0.000661644
